"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"Nova Scotia Community College"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/2020-03-06/"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/nova-scotia-community-college-ns/report/2020-03-06/OP/food-dining/OP-8/"
"Oregon State University"	"Gold"	"March 8, 2024"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/OP/food-dining/OP-8/"
"Pennsylvania State University"	"Gold"	"Jan. 25, 2024"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/OP/food-dining/OP-8/"
"Polytechnique Montreal"	"Gold"	"June 2, 2022"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/2019-06-03/"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/2019-06-03/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/polytechnique-montreal-qc/report/2019-06-03/OP/food-dining/OP-8/"
"Portland State University"	"Gold"	"April 28, 2024"	"https://reports.aashe.org/institutions/portland-state-university-or/report/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/OP/food-dining/OP-8/"
"Princeton University"	"Gold"	"Aug. 26, 2021"	"https://reports.aashe.org/institutions/princeton-university-nj/report/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/OP/food-dining/OP-8/"
"Rice University"	"Gold
                
                    *"	"April 10, 2021"	"https://reports.aashe.org/institutions/rice-university-tx/report/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/OP/food-dining/OP-8/"
"Saint Mary's College of California"	"Gold"	"Feb. 25, 2023"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/2020-02-26/"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/2020-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/saint-marys-college-of-california-ca/report/2020-02-26/OP/food-dining/OP-8/"
"San Diego State University"	"Gold"	"Oct. 23, 2023"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/OP/food-dining/OP-8/"
"San Jose State University"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/OP/food-dining/OP-8/"
"Santa Clara University"	"Gold"	"Feb. 26, 2023"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/OP/food-dining/OP-8/"
"Seattle University"	"Gold"	"May 11, 2024"	"https://reports.aashe.org/institutions/seattle-university-wa/report/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/OP/food-dining/OP-8/"
"Simon Fraser University"	"Gold"	"Oct. 4, 2021"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/OP/food-dining/OP-8/"
"State University of New York at Cortland"	"Gold"	"Feb. 24, 2022"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/2019-02-25/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/2019-02-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/state-university-of-new-york-at-cortland-ny/report/2019-02-25/OP/food-dining/OP-8/"
"Sterling College (VT)"	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/sterling-college-vt/report/"	"https://reports.aashe.org/institutions/sterling-college-vt/report/2021-03-05/"	"https://reports.aashe.org/institutions/sterling-college-vt/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/sterling-college-vt/report/2021-03-05/OP/food-dining/OP-8/"
"Stevens Institute of Technology"	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/stevens-institute-of-technology-nj/report/2020-03-02/OP/food-dining/OP-8/"
"Texas A&M University"	"Gold"	"Feb. 5, 2024"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/2020-12-11/"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/2020-12-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/texas-am-university-tx/report/2020-12-11/OP/food-dining/OP-8/"
"The American College of Greece"	"Gold"	"Feb. 10, 2023"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/2020-02-11/"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/2020-02-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/the-american-college-of-greece-deree-aghia-paraskevi/report/2020-02-11/OP/food-dining/OP-8/"
"The Ohio State University"	"Gold"	"Jan. 17, 2022"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/2019-01-18/"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/2019-01-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/the-ohio-state-university-oh/report/2019-01-18/OP/food-dining/OP-8/"
"The University of Texas at Dallas"	"Gold"	"Sept. 10, 2022"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-at-dallas-tx/report/2019-09-11/OP/food-dining/OP-8/"
"Unity College"	"Gold"	"March 21, 2022"	"https://reports.aashe.org/institutions/unity-college-me/report/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/OP/food-dining/OP-8/"
"Universite Laval"	"Gold"	"Dec. 11, 2022"	"https://reports.aashe.org/institutions/universite-laval-qc/report/"	"https://reports.aashe.org/institutions/universite-laval-qc/report/2019-12-12/"	"https://reports.aashe.org/institutions/universite-laval-qc/report/2019-12-12/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/universite-laval-qc/report/2019-12-12/OP/food-dining/OP-8/"
"University College Cork - National University of Ireland, Cork"	"Gold
                
                    *"	"July 19, 2021"	"https://reports.aashe.org/institutions/university-college-cork-national-university-of-ireland-cork-co-corcaigh/report/"	"https://reports.aashe.org/institutions/university-college-cork-national-university-of-ireland-cork-co-corcaigh/report/"	"https://reports.aashe.org/institutions/university-college-cork-national-university-of-ireland-cork-co-corcaigh/report/2018-07-20/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-college-cork-national-university-of-ireland-cork-co-corcaigh/report/2018-07-20/OP/food-dining/OP-7/"
"University at Albany"	"Gold"	"Dec. 20, 2021"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/2018-12-21/"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/2018-12-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-at-albany-ny/report/2018-12-21/OP/food-dining/OP-8/"
"University at Buffalo"	"Gold"	"Dec. 13, 2021"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/OP/food-dining/OP-8/"
"University of Alberta"	"Gold"	"Oct. 5, 2023"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/2020-06-24/"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/2020-06-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-alberta-ab/report/2020-06-24/OP/food-dining/OP-8/"
"University of Arkansas"	"Gold"	"May 16, 2024"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-arkansas-ar/report/2021-03-05/OP/food-dining/OP-8/"
"University of Calgary"	"Gold"	"Dec. 12, 2021"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/2018-12-13/"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/2018-12-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-calgary-ab/report/2018-12-13/OP/food-dining/OP-8/"
"University of California, Davis"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/OP/food-dining/OP-8/"
"University of California, Los Angeles"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/OP/food-dining/OP-8/"
"University of California, Merced"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/OP/food-dining/OP-8/"
"University of California, Riverside"	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/OP/food-dining/OP-8/"
"University of California, San Diego"	"Gold"	"April 18, 2024"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/OP/food-dining/OP-8/"
"University of California, Santa Barbara"	"Gold"	"April 20, 2024"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/OP/food-dining/OP-8/"
"University of California, Santa Cruz"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/OP/food-dining/OP-8/"
"University of Cincinnati"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/OP/food-dining/OP-8/"
"University of Colorado Boulder"	"Gold"	"Sept. 18, 2021"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/OP/food-dining/OP-8/"
"University of Colorado Colorado Springs"	"Gold"	"May 12, 2024"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/OP/food-dining/OP-8/"
"University of Dayton"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/OP/food-dining/OP-8/"
"University of Georgia"	"Gold"	"Oct. 3, 2024"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/OP/food-dining/OP-8/"
"University of Guelph"	"Gold"	"Nov. 17, 2023"	"https://reports.aashe.org/institutions/university-of-guelph-on/report/"	"https://reports.aashe.org/institutions/university-of-guelph-on/report/"	"https://reports.aashe.org/institutions/university-of-guelph-on/report/2020-09-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-guelph-on/report/2020-09-02/OP/food-dining/OP-7/"
"University of Houston"	"Gold"	"Jan. 3, 2022"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/OP/food-dining/OP-8/"
"University of Illinois, Urbana-Champaign"	"Gold"	"Feb. 26, 2022"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/2019-02-27/"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/2019-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/2019-02-27/OP/food-dining/OP-8/"
"University of Louisville"	"Gold"	"Feb. 26, 2022"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/OP/food-dining/OP-8/"
"University of Manitoba"	"Gold"	"Aug. 15, 2021"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/2018-08-16/"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/2018-08-16/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/2018-08-16/OP/food-dining/OP-8/"
"University of Maryland, College Park"	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/OP/food-dining/OP-8/"
"University of Massachusetts Amherst"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/OP/food-dining/OP-8/"
"University of Massachusetts Lowell"	"Gold"	"Feb. 14, 2022"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/OP/food-dining/OP-8/"
"University of Miami"	"Gold"	"March 12, 2022"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/OP/food-dining/OP-8/"
"University of Michigan"	"Gold"	"Dec. 21, 2021"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/OP/food-dining/OP-8/"
"University of Minnesota, Duluth"	"Gold"	"Nov. 3, 2022"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/OP/food-dining/OP-8/"
"University of Minnesota, Morris"	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/OP/food-dining/OP-8/"
"University of Missouri"	"Gold"	"Aug. 14, 2021"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/OP/food-dining/OP-8/"
"University of North Carolina at Chapel Hill"	"Gold"	"Feb. 29, 2024"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/OP/food-dining/OP-8/"
"University of Ontario Institute of Technology"	"Gold"	"June 18, 2022"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/2019-06-19/"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/2019-06-19/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/2019-06-19/OP/food-dining/OP-8/"
"University of Oregon"	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/OP/food-dining/OP-8/"
"University of Pennsylvania"	"Gold"	"Oct. 28, 2024"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/2021-08-09/"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/2021-08-09/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/2021-08-09/OP/food-dining/OP-8/"
"University of Pittsburgh"	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/OP/food-dining/OP-8/"
"University of Richmond"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/OP/food-dining/OP-8/"
"University of San Diego"	"Gold"	"July 11, 2024"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/OP/food-dining/OP-8/"
"University of South Florida (Tampa)"	"Gold"	"Aug. 17, 2021"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/2018-02-19/"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/2018-02-19/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/2018-02-19/OP/food-dining/OP-8/"
"University of St. Thomas"	"Gold"	"April 22, 2024"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/OP/food-dining/OP-8/"
"University of Texas Rio Grande Valley"	"Gold
                
                    *"	"March 18, 2021"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/OP/food-dining/OP-8/"
"University of Texas at Austin"	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/OP/food-dining/OP-8/"
"University of Utah"	"Gold"	"Jan. 13, 2024"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/OP/food-dining/OP-8/"
"University of Vermont"	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/OP/food-dining/OP-8/"
