"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"California State University, San Marcos"	"Gold"	"Feb. 18, 2024"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/2020-12-18/"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/2020-12-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/california-state-university-san-marcos-ca/report/2020-12-18/OP/food-dining/OP-8/"
"Carnegie Mellon University"	"Gold"	"Feb. 6, 2022"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/2019-02-07/"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/2019-02-07/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/carnegie-mellon-university-pa/report/2019-02-07/OP/food-dining/OP-8/"
"Central Michigan University"	"Gold"	"Feb. 3, 2024"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/2020-10-15/"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/2020-10-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/central-michigan-university-mi/report/2020-10-15/OP/food-dining/OP-8/"
"Chatham University"	"Gold"	"Nov. 25, 2021"	"https://reports.aashe.org/institutions/chatham-university-pa/report/"	"https://reports.aashe.org/institutions/chatham-university-pa/report/2018-11-26/"	"https://reports.aashe.org/institutions/chatham-university-pa/report/2018-11-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/chatham-university-pa/report/2018-11-26/OP/food-dining/OP-8/"
"Clarkson University"	"Gold"	"Feb. 21, 2022"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/2019-02-22/"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/2019-02-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/clarkson-university-ny/report/2019-02-22/OP/food-dining/OP-8/"
"Colby College"	"Gold"	"Nov. 4, 2021"	"https://reports.aashe.org/institutions/colby-college-me/report/"	"https://reports.aashe.org/institutions/colby-college-me/report/2018-11-05/"	"https://reports.aashe.org/institutions/colby-college-me/report/2018-11-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/colby-college-me/report/2018-11-05/OP/food-dining/OP-8/"
"Colgate University"	"Gold
                
                    *"	"Feb. 6, 2021"	"https://reports.aashe.org/institutions/colgate-university-ny/report/"	"https://reports.aashe.org/institutions/colgate-university-ny/report/2017-08-11/"	"https://reports.aashe.org/institutions/colgate-university-ny/report/2017-08-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/colgate-university-ny/report/2017-08-11/OP/food-dining/OP-8/"
"College of the Atlantic"	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/2019-03-01/"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/college-of-the-atlantic-me/report/2019-03-01/OP/food-dining/OP-8/"
"Colorado College"	"Gold"	"May 3, 2024"	"https://reports.aashe.org/institutions/colorado-college-co/report/"	"https://reports.aashe.org/institutions/colorado-college-co/report/2021-03-05/"	"https://reports.aashe.org/institutions/colorado-college-co/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/colorado-college-co/report/2021-03-05/OP/food-dining/OP-8/"
"Columbia University"	"Gold"	"Aug. 28, 2021"	"https://reports.aashe.org/institutions/columbia-university-ny/report/"	"https://reports.aashe.org/institutions/columbia-university-ny/report/2018-08-29/"	"https://reports.aashe.org/institutions/columbia-university-ny/report/2018-08-29/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/columbia-university-ny/report/2018-08-29/OP/food-dining/OP-8/"
