"institution"	"state"	"long"	"lat"	"rating"	"URL"	"latest_report"	"purchasing"	"dining"
"Northern Michigan University"	"MI"	-87.406568	46.559751	"Silver"	"https://reports.aashe.org/institutions/northern-michigan-university-mi/report/"	"https://reports.aashe.org/institutions/northern-michigan-university-mi/report/2020-02-18/"	"https://reports.aashe.org/institutions/northern-michigan-university-mi/report/2020-02-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northern-michigan-university-mi/report/2020-02-18/OP/food-dining/OP-8/"
"Northland College"	"WI"	-90.87476	46.579087	"Gold"	"https://reports.aashe.org/institutions/northland-college-wi/report/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northland-college-wi/report/2021-02-26/OP/food-dining/OP-8/"
"Northwestern Oklahoma State University"	"OK"	-98.667673	36.796658	"Silver"	"https://reports.aashe.org/institutions/oklahoma-state-university-ok/report/"	"https://reports.aashe.org/institutions/oklahoma-state-university-ok/report/2021-08-25/"	"https://reports.aashe.org/institutions/oklahoma-state-university-ok/report/2021-08-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/oklahoma-state-university-ok/report/2021-08-25/OP/food-dining/OP-8/"
"Northwestern University"	"IL"	-87.679858	42.050356	"Gold"	"https://reports.aashe.org/institutions/northwestern-university-il/report/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/northwestern-university-il/report/2020-03-06/OP/food-dining/OP-8/"
"Nova Southeastern University"	"FL"	-80.24248	26.079337	"Bronze"	"https://reports.aashe.org/institutions/nova-southeastern-university-fl/report/"	"https://reports.aashe.org/institutions/nova-southeastern-university-fl/report/2020-12-03/"	"https://reports.aashe.org/institutions/nova-southeastern-university-fl/report/2020-12-03/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/nova-southeastern-university-fl/report/2020-12-03/OP/food-dining/OP-8/"
"Ohio University Chillicothe Campus"	"OH"	-83.002175	39.329404	"Silver"	"https://reports.aashe.org/institutions/ohio-university-oh/report/"	"https://reports.aashe.org/institutions/ohio-university-oh/report/2021-08-11/"	"https://reports.aashe.org/institutions/ohio-university-oh/report/2021-08-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/ohio-university-oh/report/2021-08-11/OP/food-dining/OP-8/"
"Oregon State University"	"OR"	-123.274723	44.56395	"Gold"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/oregon-state-university-or/report/2020-12-23/OP/food-dining/OP-8/"
"Pennsylvania State University College of Medicine"	"PA"	-76.67408	40.264245	"Gold"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/pennsylvania-state-university-pa/report/2020-12-17/OP/food-dining/OP-8/"
"Pitzer College"	"CA"	-117.706675	34.104107	"Silver"	"https://reports.aashe.org/institutions/pitzer-college-ca/report/"	"https://reports.aashe.org/institutions/pitzer-college-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/pitzer-college-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/pitzer-college-ca/report/2020-03-06/OP/food-dining/OP-8/"
"Portland Community College"	"OR"	-122.730876	45.438154	"Silver"	"https://reports.aashe.org/institutions/portland-community-college-or/report/"	"https://reports.aashe.org/institutions/portland-community-college-or/report/2021-03-05/"	"https://reports.aashe.org/institutions/portland-community-college-or/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/portland-community-college-or/report/2021-03-05/OP/food-dining/OP-8/"
"Portland State University"	"OR"	-122.686289	45.511601	"Gold"	"https://reports.aashe.org/institutions/portland-state-university-or/report/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/portland-state-university-or/report/2021-03-05/OP/food-dining/OP-8/"
"Potomac State College of West Virginia University"	"WV"	-78.981441	39.438323	"Silver"	"https://reports.aashe.org/institutions/west-virginia-university-wv/report/"	"https://reports.aashe.org/institutions/west-virginia-university-wv/report/"	"https://reports.aashe.org/institutions/west-virginia-university-wv/report/2021-03-03/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/west-virginia-university-wv/report/2021-03-03/OP/food-dining/OP-7/"
"Pratt Institute Main"	"NY"	-73.96431	40.691297	"Silver"	"https://reports.aashe.org/institutions/pratt-institute-ny/report/"	"https://reports.aashe.org/institutions/pratt-institute-ny/report/2021-03-05/"	"https://reports.aashe.org/institutions/pratt-institute-ny/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/pratt-institute-ny/report/2021-03-05/OP/food-dining/OP-8/"
"Princeton University"	"NJ"	-74.659365	40.348732	"Gold"	"https://reports.aashe.org/institutions/princeton-university-nj/report/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/princeton-university-nj/report/2018-02-28/OP/food-dining/OP-8/"
"Principia College"	"IL"	-90.350285	38.948835	"Silver"	"https://reports.aashe.org/institutions/principia-college-il/report/"	"https://reports.aashe.org/institutions/principia-college-il/report/2021-03-05/"	"https://reports.aashe.org/institutions/principia-college-il/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/principia-college-il/report/2021-03-05/OP/food-dining/OP-8/"
"Radford University"	"VA"	-80.549728	37.136907	"Silver"	"https://reports.aashe.org/institutions/radford-university-va/report/"	"https://reports.aashe.org/institutions/radford-university-va/report/"	"https://reports.aashe.org/institutions/radford-university-va/report/2019-05-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/radford-university-va/report/2019-05-21/OP/food-dining/OP-7/"
"Raritan Valley Community College"	"NJ"	-74.688127	40.609681	"Silver"	"https://reports.aashe.org/institutions/raritan-valley-community-college-nj/report/"	"https://reports.aashe.org/institutions/raritan-valley-community-college-nj/report/2019-07-31/"	"https://reports.aashe.org/institutions/raritan-valley-community-college-nj/report/2019-07-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/raritan-valley-community-college-nj/report/2019-07-31/OP/food-dining/OP-8/"
"Rice University"	"TX"	-95.402035	29.717897	"Gold"	"https://reports.aashe.org/institutions/rice-university-tx/report/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/rice-university-tx/report/2017-10-13/OP/food-dining/OP-8/"
