"institution"	"state"	"long"	"lat"	"rating"	"URL"	"latest_report"	"purchasing"	"dining"
"The University of Texas Rio Grande Valley"	"TX"	-98.173567	26.306759	"Gold"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/OP/food-dining/OP-8/"
"The University of Virginia's College at Wise"	"VA"	-82.559656	36.970602	"Gold"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/2021-03-04/OP/food-dining/OP-8/"
"Tufts University"	"MA"	-71.118293	42.40855	"Silver"	"https://reports.aashe.org/institutions/tufts-university-ma/report/"	"https://reports.aashe.org/institutions/tufts-university-ma/report/2019-03-01/"	"https://reports.aashe.org/institutions/tufts-university-ma/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/tufts-university-ma/report/2019-03-01/OP/food-dining/OP-8/"
"Unity College"	"ME"	-69.332276	44.603165	"Gold"	"https://reports.aashe.org/institutions/unity-college-me/report/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/unity-college-me/report/2019-03-22/OP/food-dining/OP-8/"
"University at Buffalo"	"NY"	-78.789458	43.000942	"Gold"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-at-buffalo-ny/report/2018-12-14/OP/food-dining/OP-8/"
"University of Alabama at Birmingham"	"AL"	-86.799345	33.505697	"Silver"	"https://reports.aashe.org/institutions/university-of-alabama-at-birmingham-al/report/"	"https://reports.aashe.org/institutions/university-of-alabama-at-birmingham-al/report/2020-02-07/"	"https://reports.aashe.org/institutions/university-of-alabama-at-birmingham-al/report/2020-02-07/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-alabama-at-birmingham-al/report/2020-02-07/OP/food-dining/OP-8/"
"University of Alabama in Huntsville"	"AL"	-86.640449	34.724557	"Bronze"	"https://reports.aashe.org/institutions/university-of-alabama-in-huntsville-al/report/"	"https://reports.aashe.org/institutions/university-of-alabama-in-huntsville-al/report/"	"https://reports.aashe.org/institutions/university-of-alabama-in-huntsville-al/report/2019-03-08/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-alabama-in-huntsville-al/report/2019-03-08/OP/food-dining/OP-7/"
"University of California Berkeley"	"CA"	-122.260463	37.871918	"Platinum"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/OP/food-dining/OP-8/"
"University of California Davis"	"CA"	-121.749567	38.539667	"Gold"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-davis-ca/report/2020-03-06/OP/food-dining/OP-8/"
"University of California Irvine"	"CA"	-117.841248	33.648434	"Platinum"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/OP/food-dining/OP-8/"
"University of California Los Angeles"	"CA"	-118.443901	34.068892	"Gold"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-los-angeles-ca/report/2020-03-06/OP/food-dining/OP-8/"
"University of California Merced"	"CA"	-120.424944	37.366237	"Gold"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/OP/food-dining/OP-8/"
"University of California Riverside"	"CA"	-117.32741	33.97246	"Gold"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/OP/food-dining/OP-8/"
"University of California San Diego"	"CA"	-117.235866	32.877749	"Gold"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/OP/food-dining/OP-8/"
"University of California Santa Barbara"	"CA"	-119.846426	34.416297	"Gold"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/OP/food-dining/OP-8/"
"University of California Santa Cruz"	"CA"	-122.058801	36.995584	"Gold"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/OP/food-dining/OP-8/"
"University of Central Florida"	"FL"	-81.200889	28.602159	"Silver"	"https://reports.aashe.org/institutions/university-of-central-florida-fl/report/"	"https://reports.aashe.org/institutions/university-of-central-florida-fl/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-central-florida-fl/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-central-florida-fl/report/2021-03-05/OP/food-dining/OP-8/"
"University of Cincinnati Blue Ash College"	"OH"	-84.399956	39.234333	"Gold"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/OP/food-dining/OP-8/"
"University of Colorado Boulder"	"CO"	-105.270823	40.008781	"Gold"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/OP/food-dining/OP-8/"
"University of Colorado Colorado Springs"	"CO"	-104.800296	38.892735	"Gold"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/OP/food-dining/OP-8/"
"University of Connecticut"	"CT"	-72.249948	41.809098	"Platinum"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/OP/food-dining/OP-8/"
"University of Dayton"	"OH"	-84.176113	39.739547	"Gold"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/OP/food-dining/OP-8/"
"University of Delaware"	"DE"	-75.752822	39.679577	"Bronze"	"https://reports.aashe.org/institutions/university-of-delaware-de/report/"	"https://reports.aashe.org/institutions/university-of-delaware-de/report/2020-01-31/"	"https://reports.aashe.org/institutions/university-of-delaware-de/report/2020-01-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-delaware-de/report/2020-01-31/OP/food-dining/OP-8/"
"University of Florida"	"FL"	-82.347911	29.64629	"Silver"	"https://reports.aashe.org/institutions/university-of-florida-fl/report/"	"https://reports.aashe.org/institutions/university-of-florida-fl/report/2020-12-04/"	"https://reports.aashe.org/institutions/university-of-florida-fl/report/2020-12-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-florida-fl/report/2020-12-04/OP/food-dining/OP-8/"
"University of Georgia"	"GA"	-83.374039	33.956262	"Gold"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/OP/food-dining/OP-8/"
"University of Houston"	"TX"	-95.343537	29.720393	"Gold"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/OP/food-dining/OP-8/"
"University of Idaho"	"ID"	-117.014167	46.727406	"Silver"	"https://reports.aashe.org/institutions/university-of-idaho-id/report/"	"https://reports.aashe.org/institutions/university-of-idaho-id/report/"	"https://reports.aashe.org/institutions/university-of-idaho-id/report/2019-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-idaho-id/report/2019-02-27/OP/food-dining/OP-7/"
"University of Iowa"	"IA"	-91.536425	41.661935	"Silver"	"https://reports.aashe.org/institutions/university-of-iowa-ia/report/"	"https://reports.aashe.org/institutions/university-of-iowa-ia/report/2018-07-24/"	"https://reports.aashe.org/institutions/university-of-iowa-ia/report/2018-07-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-iowa-ia/report/2018-07-24/OP/food-dining/OP-8/"
"University of Kentucky"	"KY"	-84.504747	38.038911	"Silver"	"https://reports.aashe.org/institutions/university-of-kentucky-ky/report/"	"https://reports.aashe.org/institutions/university-of-kentucky-ky/report/2019-09-30/"	"https://reports.aashe.org/institutions/university-of-kentucky-ky/report/2019-09-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-kentucky-ky/report/2019-09-30/OP/food-dining/OP-8/"
"University of Louisiana at Lafayette"	"LA"	-92.020165	30.212191	"Silver"	"https://reports.aashe.org/institutions/university-of-louisiana-at-lafayette-la/report/"	"https://reports.aashe.org/institutions/university-of-louisiana-at-lafayette-la/report/"	"https://reports.aashe.org/institutions/university-of-louisiana-at-lafayette-la/report/2021-06-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-louisiana-at-lafayette-la/report/2021-06-22/OP/food-dining/OP-7/"
"University of Louisville"	"KY"	-85.760412	38.216862	"Gold"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/OP/food-dining/OP-8/"
"University of Maine"	"ME"	-68.669332	44.899257	"Silver"	"https://reports.aashe.org/institutions/university-of-maine-me/report/"	"https://reports.aashe.org/institutions/university-of-maine-me/report/"	"https://reports.aashe.org/institutions/university-of-maine-me/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-maine-me/report/2019-03-01/OP/food-dining/OP-7/"
"University of Maryland Baltimore County"	"MD"	-76.711607	39.256686	"Silver"	"https://reports.aashe.org/institutions/university-of-maryland-baltimore-county-md/report/"	"https://reports.aashe.org/institutions/university-of-maryland-baltimore-county-md/report/"	"https://reports.aashe.org/institutions/university-of-maryland-baltimore-county-md/report/2020-02-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-maryland-baltimore-county-md/report/2020-02-25/OP/food-dining/OP-7/"
"University of Maryland College Park"	"MD"	-76.944721	38.988178	"Gold"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/OP/food-dining/OP-8/"
"University of Massachusetts Medical School Worcester"	"MA"	-71.762144	42.278002	"Silver"	"https://reports.aashe.org/institutions/university-of-massachusetts-medical-school-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-medical-school-ma/report/2020-04-03/"	"https://reports.aashe.org/institutions/university-of-massachusetts-medical-school-ma/report/2020-04-03/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-medical-school-ma/report/2020-04-03/OP/food-dining/OP-8/"
"University of Massachusetts Amherst"	"MA"	-72.526728	42.385999	"Gold"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/OP/food-dining/OP-8/"
"University of Massachusetts Dartmouth"	"MA"	-71.004552	41.62869	"Silver"	"https://reports.aashe.org/institutions/university-of-massachusetts-dartmouth-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-dartmouth-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-dartmouth-ma/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-dartmouth-ma/report/2021-03-05/OP/food-dining/OP-7/"
"University of Massachusetts Lowell"	"MA"	-71.326809	42.652864	"Gold"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/OP/food-dining/OP-8/"
"University of Miami"	"FL"	-80.278662	25.72126	"Gold"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/OP/food-dining/OP-8/"
"University of Michigan Ann Arbor"	"MI"	-83.742769	42.275921	"Gold"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/OP/food-dining/OP-8/"
"University of Minnesota Duluth"	"MN"	-92.084385	46.817126	"Gold"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/OP/food-dining/OP-8/"
"University of Minnesota Morris"	"MN"	-95.899729	45.589775	"Gold"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/OP/food-dining/OP-8/"
"University of Mississippi"	"MS"	-89.537434	34.365529	"Bronze"	"https://reports.aashe.org/institutions/university-of-mississippi-ms/report/"	"https://reports.aashe.org/institutions/university-of-mississippi-ms/report/"	"https://reports.aashe.org/institutions/university-of-mississippi-ms/report/2019-07-17/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-mississippi-ms/report/2019-07-17/OP/food-dining/OP-7/"
"University of Missouri Columbia"	"MO"	-92.328843	38.94531	"Gold"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/OP/food-dining/OP-8/"
"University of Montevallo"	"AL"	-86.865099	33.10625	"Bronze"	"https://reports.aashe.org/institutions/university-of-montevallo-al/report/"	"https://reports.aashe.org/institutions/university-of-montevallo-al/report/"	"https://reports.aashe.org/institutions/university-of-montevallo-al/report/2019-07-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-montevallo-al/report/2019-07-24/OP/food-dining/OP-7/"
"University of Mount Union"	"OH"	-81.111029	40.905256	"Silver"	"https://reports.aashe.org/institutions/university-of-mount-union-oh/report/"	"https://reports.aashe.org/institutions/university-of-mount-union-oh/report/2021-03-22/"	"https://reports.aashe.org/institutions/university-of-mount-union-oh/report/2021-03-22/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-mount-union-oh/report/2021-03-22/OP/food-dining/OP-8/"
"University of Nebraska at Omaha"	"NE"	-96.008516	41.258769	"Silver"	"https://reports.aashe.org/institutions/university-of-nebraska-at-omaha-ne/report/"	"https://reports.aashe.org/institutions/university-of-nebraska-at-omaha-ne/report/2019-03-19/"	"https://reports.aashe.org/institutions/university-of-nebraska-at-omaha-ne/report/2019-03-19/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-nebraska-at-omaha-ne/report/2019-03-19/OP/food-dining/OP-8/"
"University of New Hampshire at Manchester"	"NH"	-71.468755	42.987209	"Platinum"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-new-hampshire-nh/report/2021-08-16/OP/food-dining/OP-8/"
"University of New Haven"	"CT"	-72.961472	41.291314	"Bronze"	"https://reports.aashe.org/institutions/university-of-new-haven-ct/report/"	"https://reports.aashe.org/institutions/university-of-new-haven-ct/report/"	"https://reports.aashe.org/institutions/university-of-new-haven-ct/report/2019-08-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-new-haven-ct/report/2019-08-01/OP/food-dining/OP-7/"
"University of North Carolina at Chapel Hill"	"NC"	-79.050969	35.911769	"Gold"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/OP/food-dining/OP-8/"
"University of North Georgia"	"GA"	-83.985694	34.530219	"Bronze"	"https://reports.aashe.org/institutions/university-of-north-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-north-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-north-georgia-ga/report/2019-12-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-north-georgia-ga/report/2019-12-21/OP/food-dining/OP-7/"
"University of Notre Dame"	"IN"	-86.238959	41.703058	"Silver"	"https://reports.aashe.org/institutions/university-of-notre-dame-in/report/"	"https://reports.aashe.org/institutions/university-of-notre-dame-in/report/2017-10-13/"	"https://reports.aashe.org/institutions/university-of-notre-dame-in/report/2017-10-13/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-notre-dame-in/report/2017-10-13/OP/food-dining/OP-8/"
"University of Oregon"	"OR"	-123.075792	44.045146	"Gold"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/OP/food-dining/OP-8/"
"University of Pittsburgh Medical Center Shadyside School of Nursing"	"PA"	-79.939494	40.454751	"Gold"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/OP/food-dining/OP-8/"
"University of Richmond"	"VA"	-77.538806	37.577393	"Gold"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/OP/food-dining/OP-8/"
"University of Rochester"	"NY"	-77.631202	43.126397	"Silver"	"https://reports.aashe.org/institutions/university-of-rochester-ny/report/"	"https://reports.aashe.org/institutions/university-of-rochester-ny/report/2019-01-31/"	"https://reports.aashe.org/institutions/university-of-rochester-ny/report/2019-01-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-rochester-ny/report/2019-01-31/OP/food-dining/OP-8/"
"University of San Diego"	"CA"	-117.192073	32.770816	"Gold"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/OP/food-dining/OP-8/"
"University of Southern California"	"CA"	-118.284169	34.021281	"Silver"	"https://reports.aashe.org/institutions/university-of-southern-california-ca/report/"	"https://reports.aashe.org/institutions/university-of-southern-california-ca/report/"	"https://reports.aashe.org/institutions/university-of-southern-california-ca/report/2021-07-29/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-southern-california-ca/report/2021-07-29/OP/food-dining/OP-7/"
"University of St Thomas"	"TX"	-95.393102	29.736438	"Gold"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/OP/food-dining/OP-8/"
"University of the Pacific"	"CA"	-121.312301	37.981424	"Silver"	"https://reports.aashe.org/institutions/university-of-the-pacific-ca/report/"	"https://reports.aashe.org/institutions/university-of-the-pacific-ca/report/2021-03-04/"	"https://reports.aashe.org/institutions/university-of-the-pacific-ca/report/2021-03-04/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-the-pacific-ca/report/2021-03-04/OP/food-dining/OP-8/"
"University of Utah"	"UT"	-111.846044	40.762484	"Gold"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/OP/food-dining/OP-8/"
"University of Vermont"	"VT"	-73.196646	44.477325	"Gold"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/OP/food-dining/OP-8/"
"University of Washington Seattle Campus"	"WA"	-122.30514	47.65538	"Gold"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/2018-10-12/"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/2018-10-12/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/2018-10-12/OP/food-dining/OP-8/"
"University of West Georgia"	"GA"	-85.097762	33.573621	"Silver"	"https://reports.aashe.org/institutions/university-of-west-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-west-georgia-ga/report/2018-03-30/"	"https://reports.aashe.org/institutions/university-of-west-georgia-ga/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-west-georgia-ga/report/2018-03-30/OP/food-dining/OP-8/"
"University of Wyoming"	"WY"	-105.57931	41.311773	"Bronze"	"https://reports.aashe.org/institutions/university-of-wyoming-wy/report/"	"https://reports.aashe.org/institutions/university-of-wyoming-wy/report/"	"https://reports.aashe.org/institutions/university-of-wyoming-wy/report/2019-04-29/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/university-of-wyoming-wy/report/2019-04-29/OP/food-dining/OP-7/"
